datetime,open,high,low,close,volume
2017-03-28,35.2275,36.01,35.155,35.95,33374800
2017-03-29,35.92,36.1225,35.7975,36.03,29190000
2017-03-30,36.0475,36.125,35.875,35.9825,21207300
2017-03-31,35.93,36.0675,35.7525,35.915,19661700
2017-04-03,35.9275,36.03,35.7625,35.925,19985700
2017-04-04,35.8125,36.2225,35.7925,36.1925,19891400
2017-04-05,36.055,36.365,35.9525,36.005,27717900
2017-04-06,36.0725,36.13,35.8625,35.915,21149000
2017-04-07,35.9325,36.045,35.8175,35.835,16672200
2017-04-10,35.9,35.97,35.725,35.7925,18933400
2017-04-11,35.735,35.8375,35.015,35.4075,30379400
2017-04-12,35.4,35.5375,35.2525,35.45,20350000
2017-04-13,35.4775,35.595,35.2625,35.2625,17822900
2017-04-17,35.37,35.47,35.2175,35.4575,16582100
2017-04-18,35.3525,35.51,35.2775,35.3,14697500
2017-04-19,35.47,35.5,35.1125,35.17,17328400
2017-04-20,35.305,35.73,35.29,35.61,23319600
2017-04-21,35.61,35.67,35.4625,35.5675,17320900
2017-04-24,35.875,35.9875,35.795,35.91,17134300
2017-04-25,35.9775,36.225,35.9675,36.1325,18871500
2017-04-26,36.1175,36.15,35.845,35.92,20041200
2017-04-27,35.98,36.04,35.8275,35.9475,14246300
2017-04-28,36.0225,36.075,35.8175,35.9125,20860400
2017-05-01,36.275,36.8,36.24,36.645,33602900
2017-05-02,36.885,37.0225,36.71,36.8775,45352200
2017-05-03,36.3975,36.8725,36.0675,36.765,45697000
2017-05-04,36.63,36.785,36.4525,36.6325,23371900
2017-05-05,36.69,37.245,36.69,37.24,27327700
2017-05-08,37.2575,38.425,37.2575,38.2525,48752400
2017-05-09,38.4675,38.72,38.3625,38.4975,39130400
2017-05-10,38.4075,38.485,38.0275,38.315,25805700
2017-05-11,38.1125,38.5175,38.0775,38.4875,27255100
2017-05-12,38.675,39.105,38.6675,39.025,32527000
2017-05-15,39.0025,39.1625,38.7625,38.925,26009700
2017-05-16,38.985,39.015,38.68,38.8675,20048500
2017-05-17,38.4,38.6425,37.4275,37.5625,50767700
2017-05-18,37.8175,38.335,37.7825,38.135,33568200
2017-05-19,38.345,38.495,38.1575,38.265,26960800
2017-05-22,38.5,38.645,38.2275,38.4975,22966400
2017-05-23,38.725,38.725,38.3275,38.45,19918900
2017-05-24,38.46,38.5425,38.1675,38.335,19178000
2017-05-25,38.4325,38.5875,38.2575,38.4675,19235600
2017-05-26,38.5,38.56,38.3275,38.4025,21927600
